"Kod";"Nazwa";"styczeń;ogółem;2005;[-]";"styczeń;ogółem;2006;[-]";"styczeń;ogółem;2007;[-]";"styczeń;ogółem;2008;[-]";"styczeń;ogółem;2009;[-]";"styczeń;ogółem;2010;[-]";"styczeń;ogółem;2011;[-]";"styczeń;ogółem;2012;[-]";"styczeń;ogółem;2013;[-]";"styczeń;ogółem;2014;[-]";"styczeń;ogółem;2015;[-]";"styczeń;ogółem;2016;[-]";"styczeń;ogółem;2017;[-]";"styczeń;ogółem;2018;[-]";"styczeń;ogółem;2019;[-]";"styczeń;ogółem;2020;[-]";"styczeń;ogółem;2021;[-]";"styczeń;ogółem;2022;[-]";"styczeń;ogółem;2023;[-]";"styczeń-luty;ogółem;2005;[-]";"styczeń-luty;ogółem;2006;[-]";"styczeń-luty;ogółem;2007;[-]";"styczeń-luty;ogółem;2008;[-]";"styczeń-luty;ogółem;2009;[-]";"styczeń-luty;ogółem;2010;[-]";"styczeń-luty;ogółem;2011;[-]";"styczeń-luty;ogółem;2012;[-]";"styczeń-luty;ogółem;2013;[-]";"styczeń-luty;ogółem;2014;[-]";"styczeń-luty;ogółem;2015;[-]";"styczeń-luty;ogółem;2016;[-]";"styczeń-luty;ogółem;2017;[-]";"styczeń-luty;ogółem;2018;[-]";"styczeń-luty;ogółem;2019;[-]";"styczeń-luty;ogółem;2020;[-]";"styczeń-luty;ogółem;2021;[-]";"styczeń-luty;ogółem;2022;[-]";"styczeń-luty;ogółem;2023;[-]";"styczeń-marzec;ogółem;2005;[-]";"styczeń-marzec;ogółem;2006;[-]";"styczeń-marzec;ogółem;2007;[-]";"styczeń-marzec;ogółem;2008;[-]";"styczeń-marzec;ogółem;2009;[-]";"styczeń-marzec;ogółem;2010;[-]";"styczeń-marzec;ogółem;2011;[-]";"styczeń-marzec;ogółem;2012;[-]";"styczeń-marzec;ogółem;2013;[-]";"styczeń-marzec;ogółem;2014;[-]";"styczeń-marzec;ogółem;2015;[-]";"styczeń-marzec;ogółem;2016;[-]";"styczeń-marzec;ogółem;2017;[-]";"styczeń-marzec;ogółem;2018;[-]";"styczeń-marzec;ogółem;2019;[-]";"styczeń-marzec;ogółem;2020;[-]";"styczeń-marzec;ogółem;2021;[-]";"styczeń-marzec;ogółem;2022;[-]";"styczeń-marzec;ogółem;2023;[-]";"styczeń-kwiecień;ogółem;2005;[-]";"styczeń-kwiecień;ogółem;2006;[-]";"styczeń-kwiecień;ogółem;2007;[-]";"styczeń-kwiecień;ogółem;2008;[-]";"styczeń-kwiecień;ogółem;2009;[-]";"styczeń-kwiecień;ogółem;2010;[-]";"styczeń-kwiecień;ogółem;2011;[-]";"styczeń-kwiecień;ogółem;2012;[-]";"styczeń-kwiecień;ogółem;2013;[-]";"styczeń-kwiecień;ogółem;2014;[-]";"styczeń-kwiecień;ogółem;2015;[-]";"styczeń-kwiecień;ogółem;2016;[-]";"styczeń-kwiecień;ogółem;2017;[-]";"styczeń-kwiecień;ogółem;2018;[-]";"styczeń-kwiecień;ogółem;2019;[-]";"styczeń-kwiecień;ogółem;2020;[-]";"styczeń-kwiecień;ogółem;2021;[-]";"styczeń-kwiecień;ogółem;2022;[-]";"styczeń-kwiecień;ogółem;2023;[-]";"styczeń-maj;ogółem;2005;[-]";"styczeń-maj;ogółem;2006;[-]";"styczeń-maj;ogółem;2007;[-]";"styczeń-maj;ogółem;2008;[-]";"styczeń-maj;ogółem;2009;[-]";"styczeń-maj;ogółem;2010;[-]";"styczeń-maj;ogółem;2011;[-]";"styczeń-maj;ogółem;2012;[-]";"styczeń-maj;ogółem;2013;[-]";"styczeń-maj;ogółem;2014;[-]";"styczeń-maj;ogółem;2015;[-]";"styczeń-maj;ogółem;2016;[-]";"styczeń-maj;ogółem;2017;[-]";"styczeń-maj;ogółem;2018;[-]";"styczeń-maj;ogółem;2019;[-]";"styczeń-maj;ogółem;2020;[-]";"styczeń-maj;ogółem;2021;[-]";"styczeń-maj;ogółem;2022;[-]";"styczeń-maj;ogółem;2023;[-]";"styczeń-czerwiec;ogółem;2005;[-]";"styczeń-czerwiec;ogółem;2006;[-]";"styczeń-czerwiec;ogółem;2007;[-]";"styczeń-czerwiec;ogółem;2008;[-]";"styczeń-czerwiec;ogółem;2009;[-]";"styczeń-czerwiec;ogółem;2010;[-]";"styczeń-czerwiec;ogółem;2011;[-]";"styczeń-czerwiec;ogółem;2012;[-]";"styczeń-czerwiec;ogółem;2013;[-]";"styczeń-czerwiec;ogółem;2014;[-]";"styczeń-czerwiec;ogółem;2015;[-]";"styczeń-czerwiec;ogółem;2016;[-]";"styczeń-czerwiec;ogółem;2017;[-]";"styczeń-czerwiec;ogółem;2018;[-]";"styczeń-czerwiec;ogółem;2019;[-]";"styczeń-czerwiec;ogółem;2020;[-]";"styczeń-czerwiec;ogółem;2021;[-]";"styczeń-czerwiec;ogółem;2022;[-]";"styczeń-czerwiec;ogółem;2023;[-]";"styczeń-lipiec;ogółem;2005;[-]";"styczeń-lipiec;ogółem;2006;[-]";"styczeń-lipiec;ogółem;2007;[-]";"styczeń-lipiec;ogółem;2008;[-]";"styczeń-lipiec;ogółem;2009;[-]";"styczeń-lipiec;ogółem;2010;[-]";"styczeń-lipiec;ogółem;2011;[-]";"styczeń-lipiec;ogółem;2012;[-]";"styczeń-lipiec;ogółem;2013;[-]";"styczeń-lipiec;ogółem;2014;[-]";"styczeń-lipiec;ogółem;2015;[-]";"styczeń-lipiec;ogółem;2016;[-]";"styczeń-lipiec;ogółem;2017;[-]";"styczeń-lipiec;ogółem;2018;[-]";"styczeń-lipiec;ogółem;2019;[-]";"styczeń-lipiec;ogółem;2020;[-]";"styczeń-lipiec;ogółem;2021;[-]";"styczeń-lipiec;ogółem;2022;[-]";"styczeń-lipiec;ogółem;2023;[-]";"styczeń-sierpień;ogółem;2005;[-]";"styczeń-sierpień;ogółem;2006;[-]";"styczeń-sierpień;ogółem;2007;[-]";"styczeń-sierpień;ogółem;2008;[-]";"styczeń-sierpień;ogółem;2009;[-]";"styczeń-sierpień;ogółem;2010;[-]";"styczeń-sierpień;ogółem;2011;[-]";"styczeń-sierpień;ogółem;2012;[-]";"styczeń-sierpień;ogółem;2013;[-]";"styczeń-sierpień;ogółem;2014;[-]";"styczeń-sierpień;ogółem;2015;[-]";"styczeń-sierpień;ogółem;2016;[-]";"styczeń-sierpień;ogółem;2017;[-]";"styczeń-sierpień;ogółem;2018;[-]";"styczeń-sierpień;ogółem;2019;[-]";"styczeń-sierpień;ogółem;2020;[-]";"styczeń-sierpień;ogółem;2021;[-]";"styczeń-sierpień;ogółem;2022;[-]";"styczeń-sierpień;ogółem;2023;[-]";"styczeń-wrzesień;ogółem;2005;[-]";"styczeń-wrzesień;ogółem;2006;[-]";"styczeń-wrzesień;ogółem;2007;[-]";"styczeń-wrzesień;ogółem;2008;[-]";"styczeń-wrzesień;ogółem;2009;[-]";"styczeń-wrzesień;ogółem;2010;[-]";"styczeń-wrzesień;ogółem;2011;[-]";"styczeń-wrzesień;ogółem;2012;[-]";"styczeń-wrzesień;ogółem;2013;[-]";"styczeń-wrzesień;ogółem;2014;[-]";"styczeń-wrzesień;ogółem;2015;[-]";"styczeń-wrzesień;ogółem;2016;[-]";"styczeń-wrzesień;ogółem;2017;[-]";"styczeń-wrzesień;ogółem;2018;[-]";"styczeń-wrzesień;ogółem;2019;[-]";"styczeń-wrzesień;ogółem;2020;[-]";"styczeń-wrzesień;ogółem;2021;[-]";"styczeń-wrzesień;ogółem;2022;[-]";"styczeń-wrzesień;ogółem;2023;[-]";"styczeń-październik;ogółem;2005;[-]";"styczeń-październik;ogółem;2006;[-]";"styczeń-październik;ogółem;2007;[-]";"styczeń-październik;ogółem;2008;[-]";"styczeń-październik;ogółem;2009;[-]";"styczeń-październik;ogółem;2010;[-]";"styczeń-październik;ogółem;2011;[-]";"styczeń-październik;ogółem;2012;[-]";"styczeń-październik;ogółem;2013;[-]";"styczeń-październik;ogółem;2014;[-]";"styczeń-październik;ogółem;2015;[-]";"styczeń-październik;ogółem;2016;[-]";"styczeń-październik;ogółem;2017;[-]";"styczeń-październik;ogółem;2018;[-]";"styczeń-październik;ogółem;2019;[-]";"styczeń-październik;ogółem;2020;[-]";"styczeń-październik;ogółem;2021;[-]";"styczeń-październik;ogółem;2022;[-]";"styczeń-październik;ogółem;2023;[-]";"styczeń-listopad;ogółem;2005;[-]";"styczeń-listopad;ogółem;2006;[-]";"styczeń-listopad;ogółem;2007;[-]";"styczeń-listopad;ogółem;2008;[-]";"styczeń-listopad;ogółem;2009;[-]";"styczeń-listopad;ogółem;2010;[-]";"styczeń-listopad;ogółem;2011;[-]";"styczeń-listopad;ogółem;2012;[-]";"styczeń-listopad;ogółem;2013;[-]";"styczeń-listopad;ogółem;2014;[-]";"styczeń-listopad;ogółem;2015;[-]";"styczeń-listopad;ogółem;2016;[-]";"styczeń-listopad;ogółem;2017;[-]";"styczeń-listopad;ogółem;2018;[-]";"styczeń-listopad;ogółem;2019;[-]";"styczeń-listopad;ogółem;2020;[-]";"styczeń-listopad;ogółem;2021;[-]";"styczeń-listopad;ogółem;2022;[-]";"styczeń-listopad;ogółem;2023;[-]";"styczeń-grudzień;ogółem;2005;[-]";"styczeń-grudzień;ogółem;2006;[-]";"styczeń-grudzień;ogółem;2007;[-]";"styczeń-grudzień;ogółem;2008;[-]";"styczeń-grudzień;ogółem;2009;[-]";"styczeń-grudzień;ogółem;2010;[-]";"styczeń-grudzień;ogółem;2011;[-]";"styczeń-grudzień;ogółem;2012;[-]";"styczeń-grudzień;ogółem;2013;[-]";"styczeń-grudzień;ogółem;2014;[-]";"styczeń-grudzień;ogółem;2015;[-]";"styczeń-grudzień;ogółem;2016;[-]";"styczeń-grudzień;ogółem;2017;[-]";"styczeń-grudzień;ogółem;2018;[-]";"styczeń-grudzień;ogółem;2019;[-]";"styczeń-grudzień;ogółem;2020;[-]";"styczeń-grudzień;ogółem;2021;[-]";"styczeń-grudzień;ogółem;2022;[-]";"styczeń-grudzień;ogółem;2023;[-]";
0200000;"DOLNOŚLĄSKIE";787;501;998;954;1099;1216;1006;1131;653;602;1952;1832;1132;1334;3177;1412;2245;2904;1391;1502;1526;2037;2616;2695;2293;2060;2473;1702;1615;2663;3687;3558;2237;5292;3333;4246;6172;2708;2362;2717;4106;5055;3661;3214;3444;3605;2414;3113;4197;5339;6126;4485;7143;5495;7158;8659;;3236;3712;6223;6900;4813;4783;4557;5287;4097;4016;5165;6834;9233;5962;9950;7737;9683;11075;;3918;4776;8118;7911;6082;6055;5953;7091;5106;5123;6556;8344;11392;7784;12971;10169;11678;13246;;5647;5966;10627;9945;7508;7443;8791;8290;6017;7107;8263;10559;14688;9807;15099;13011;14652;16679;;6422;7408;12442;11588;8848;8474;10709;9385;7262;8663;9873;12305;16516;11462;17659;14865;17152;18186;;7530;9747;15606;13102;9706;9485;11785;10463;8639;9596;10973;14044;18084;13610;19543;16699;18762;20952;;8789;10713;17376;14953;11871;10833;12791;11286;10333;10741;13012;16085;21384;15444;21972;19222;21379;22669;;9723;12168;19390;17536;13005;12381;14500;12127;11736;11695;15305;18056;24089;17722;25140;21798;24222;25524;;11052;13794;21951;19193;13754;13295;16439;13330;12722;12941;16933;19484;25883;19644;26456;24104;26886;27345;;11904;16326;24134;20216;15094;14911;18259;13888;13595;14400;19258;21987;27772;21822;28201;26851;28859;29805;;
0400000;"KUJAWSKO-POMORSKIE";492;262;886;602;548;397;545;317;236;598;443;289;487;617;635;744;997;567;658;787;747;2189;1252;1435;729;920;687;784;969;877;1242;1437;1367;1324;1879;2149;2111;1101;1331;1164;2724;2069;1852;1325;1796;1448;1317;1536;1799;1756;2727;2241;2437;3303;4076;3214;;1761;1662;3828;3341;2742;2094;2712;2510;1805;2403;2233;2403;3423;3135;3312;4727;5241;4374;;2418;2216;5192;4271;3253;2634;3233;3168;2357;2905;2896;3127;4534;4102;4152;5820;7444;5984;;2924;2629;6405;4937;4040;3329;3824;3938;2927;4001;3759;3867;5230;5197;5109;7000;8739;7482;;3384;3319;7628;5962;5148;4026;4451;4426;3514;4872;4331;4569;6296;6366;5885;8589;9968;8190;;3858;3761;8546;6548;5879;4631;5561;5042;4179;5468;5101;5358;6932;7097;7181;9583;11061;8941;;4281;4392;9433;7519;6678;5323;6329;5789;4756;6178;6064;6077;7993;7851;7916;10856;12435;9907;;4771;5141;10529;8096;7611;5816;7088;6282;5586;6686;7031;6891;8827;9136;9755;11777;13601;11215;;5026;5736;11383;8510;8160;6414;7452;6784;5968;7427;7853;7501;9743;10067;10513;13145;14464;12034;;5561;6472;12130;9174;8898;6914;8029;7395;6252;7829;8571;8012;11176;10792;12078;14695;16220;12717;;
0600000;"LUBELSKIE";341;362;492;567;845;270;516;586;333;256;235;344;668;583;956;424;680;1292;547;578;644;924;1141;1490;655;809;961;645;499;563;1017;1548;1288;1748;1062;1836;2022;1524;943;956;1456;1837;2266;1322;1643;1582;1139;940;1131;1651;2090;2118;2440;1809;4361;3948;;1372;1453;2227;2538;2843;2172;2443;2304;1606;1511;2068;2539;2837;2892;3416;2470;5795;4881;;1813;2087;2930;3238;3590;2862;3004;3286;1982;2363;2628;3183;3496;3454;4140;3542;7360;6648;;2225;2580;3639;4205;4365;3556;3885;4091;2502;2805;3521;4139;4121;4760;4809;4384;8554;8404;;2581;2987;4714;4949;5115;4111;4521;4993;3085;3214;4539;4881;4710;5644;5729;5658;10039;9554;;3139;3736;5676;5726;5710;4847;5326;5522;3576;3553;5082;5409;5434;6334;6668;6321;11603;10338;;3794;4639;6771;6347;6239;5730;6853;6122;4100;4028;5986;6250;6238;7712;7334;7082;12574;10985;;4126;5132;7382;7092;6947;6516;7489;6734;4720;4868;6937;6920;6792;8407;8418;8328;13645;11481;;4501;5758;8396;7811;7791;7192;8197;7183;5398;5282;7207;7265;7676;8918;9701;9651;14820;12143;;4786;6010;9059;8155;8131;7668;8766;7684;5824;5686;7833;7847;8031;9623;10653;10596;15368;12548;;
0800000;"LUBUSKIE";203;86;183;250;172;358;104;241;123;315;132;236;975;247;533;422;634;505;332;381;188;490;503;504;501;537;720;331;639;280;393;1285;477;1018;878;1582;997;531;529;461;1005;944;926;853;858;1138;608;897;568;951;1571;895;1497;1619;2379;1807;;697;805;1561;1371;1404;1104;1207;1470;870;1342;1033;1314;1863;1356;1802;2038;2870;2329;;1112;1127;2168;2148;1656;1459;1804;1983;1219;1752;1594;1647;2573;1936;2574;2474;3468;2921;;1412;1500;2628;2771;1917;1730;2393;2197;1375;2011;1962;2209;3258;2407;3481;3437;4132;3504;;1681;1982;3162;3123;2143;2124;2811;2488;1598;2487;2264;2662;3750;2796;3888;4400;4794;4184;;1904;2136;3498;3447;2498;2556;3166;2817;1825;2964;2597;3369;4157;4072;4306;5266;5415;4413;;2069;2644;3970;3772;2718;2920;3392;2973;2079;3179;3117;4056;4650;4537;4837;5986;5980;5103;;2458;2949;4667;4246;3158;3239;3614;3487;2411;3549;3708;4365;5194;4871;5534;6672;6549;5584;;2612;3162;4991;4699;3575;3426;3846;3840;2568;3955;3938;4783;5619;5543;5988;7075;7096;5908;;2815;3628;5396;5232;4032;3747;4175;4073;2754;4345;4269;5499;5983;5936;6439;8044;7628;6323;;
1000000;"ŁÓDZKIE";287;362;365;572;917;648;504;506;334;636;338;269;531;1302;1223;1183;1032;1354;732;719;575;819;1376;1626;1104;957;955;756;1026;863;1082;1294;2508;1931;2377;3427;2832;1685;1190;966;1640;2998;2449;1699;1657;1807;1324;1594;1576;1804;2019;3279;3108;3439;6009;4401;;1523;1916;2778;4629;3767;2765;2575;2615;2346;2090;2153;2568;2821;4701;4208;4528;7966;5553;;2114;2458;3464;5648;4639;3558;3260;3292;2883;2709;2689;3174;4408;5543;5070;5664;9344;7068;;2583;2986;4801;6837;5537;4817;4240;3993;3358;3801;3321;4585;6112;6240;6717;6866;11569;8741;;3337;3720;6258;7822;6470;5387;5009;4758;4102;4452;3949;5844;6900;7101;9175;8022;13568;10958;;3795;4301;7072;8739;7493;6170;5830;5396;4733;5083;4664;6690;7642;9020;10209;8880;15448;12393;;4321;4825;8186;9706;8196;7171;6803;5978;5503;5764;5318;8011;8648;10005;11144;9870;16854;13984;;4728;5313;9204;10383;9767;8192;7825;6770;6035;6513;6248;8989;9723;11142;12034;11380;18995;15333;;5048;5858;10582;11353;10241;8911;8702;7220;6438;6894;7314;9740;10475;11979;13464;12293;20445;16345;;5449;6442;11574;12152;11214;9615;9087;7543;7402;7686;8184;10898;11568;13346;14401;13672;22694;17841;;
1200000;"MAŁOPOLSKIE";274;1410;1623;2906;1417;992;1220;1418;1289;752;646;819;2324;2516;1737;1387;1429;1624;1830;1415;1928;2793;5146;2565;2432;2110;2463;2153;1896;1944;2138;4074;4052;3035;3221;3766;4172;3664;2112;3157;4499;6839;4247;4029;4049;3813;3144;2748;3584;3645;6614;6097;4764;4767;6744;6611;;3613;4737;7350;8829;5310;6465;5607;5912;4531;3650;5684;5137;9068;8076;6436;6034;10138;9431;;4299;6042;9979;10468;6716;8675;7536;7645;5543;4669;7288;6759;11212;10454;8493;7679;12503;11984;;5349;8101;12273;14059;8180;10016;9123;9126;8993;6089;9053;8772;13500;12678;10267;9811;15105;14400;;6334;10302;14865;15702;10038;13360;10514;11236;9955;7758;10047;10135;15069;14331;13001;12043;17732;16330;;7345;11650;17152;17575;11689;15989;11772;12632;11245;9646;11920;11980;17110;16716;15122;14396;20165;18392;;8517;13238;19720;19594;13643;17750;14484;14102;12591;10601;13104;13718;19278;18104;17382;16338;22578;20250;;9995;15103;22004;22406;14776;19801;15541;16548;13769;11378;14620;15305;20922;20185;20084;19694;24919;21813;;10991;16739;23308;23766;15939;21490;16979;17132;14689;12442;15765;17471;22904;21721;21612;21794;27080;24979;;12690;19005;24606;25073;17227;23151;19558;18433;15506;13536;17334;20742;25333;23448;23066;23933;29745;27012;;
1400000;"MAZOWIECKIE";1013;1662;2693;2825;2511;1872;1828;2592;1312;1780;2195;1687;2303;6062;3546;3955;4181;3547;2541;3822;3464;6454;6422;5545;4166;3459;5634;3452;3711;4372;4847;5914;10561;6330;7208;8171;7911;5513;6798;7014;11362;11215;8078;6879;7004;8162;6119;7180;8746;7894;11376;15255;9700;10771;13182;13075;;8577;9342;15771;15835;11216;9137;9233;11533;8400;12417;12531;13146;18084;19145;13213;13098;17130;17710;;11651;14356;23915;20700;16227;11587;11940;13311;11464;15290;16316;16162;23185;24189;18306;15855;24256;23500;;13766;17630;29210;24619;19918;14343;15865;16201;13584;17719;18461;20203;27979;27596;22415;20702;29648;31508;;15712;19720;33081;31172;22810;16596;18452;18686;15503;21391;22994;24602;32334;30620;26891;24477;34859;35920;;18044;23437;38765;36628;25628;19082;23513;20630;17893;24668;26164;27541;35849;34109;31181;28050;40146;38663;;20398;28282;43787;41104;29196;22731;28130;23045;19856;28325;30890;30901;39517;37716;35980;31737;45840;43284;;23985;33520;49920;45024;31335;25340;30923;24979;21826;30720;35828;35422;44895;43166;41632;36245;51633;46427;;26387;37531;56492;46645;33889;28334;32954;27732;22940;32490;38211;37866;47406;46915;44929;39366;55858;49608;;28164;40103;61572;50043;36687;31217;35953;31340;26470;35578;41922;42140;50936;50740;48870;45406;62568;54111;;
1600000;"OPOLSKIE";88;65;92;198;93;106;82;360;66;45;113;262;119;223;351;196;226;221;138;201;130;168;551;225;178;230;462;192;148;180;523;287;456;622;484;605;513;367;327;253;337;734;336;359;431;636;356;389;295;748;424;745;1169;891;980;1030;;419;558;590;1041;485;692;657;808;461;518;459;1031;676;1102;1599;1188;1419;1421;;520;696;866;1273;628;1005;830;1096;579;636;561;1310;940;1390;1825;1390;1837;2101;;615;879;1153;1783;803;1240;953;1212;700;836;707;1447;1125;1619;2125;1630;2375;2441;;701;1013;1783;2298;1165;1454;1271;1563;978;964;908;1574;1402;1970;2350;1872;2955;2875;;810;1143;2244;2643;1363;1593;1421;1700;1092;1190;1104;1788;1630;2136;2615;2115;3475;3247;;904;1271;2507;3001;1546;1978;1727;1890;1381;1301;1207;1947;1772;2455;3069;2422;3919;3555;;963;1492;2790;3137;1690;2118;2029;2010;1555;1513;1400;2100;1958;2783;3288;2716;4286;3890;;1033;1828;2922;3271;1824;2256;2140;2475;1634;1575;1518;2290;2142;3055;3619;3016;4541;4037;;1123;1995;3129;3498;2007;2564;2246;2587;1729;1682;1771;2536;2419;3205;4050;3975;4895;4248;;
1800000;"PODKARPACKIE";269;352;317;351;577;705;445;360;529;314;259;562;497;656;810;797;700;671;1375;573;566;546;963;1380;1155;1045;761;996;719;646;1121;1696;1379;1632;1440;2144;1467;2118;882;973;1062;1644;2049;1893;1880;1353;1515;1578;1320;2286;2336;2306;2571;2774;3179;2300;;1197;1551;1619;2365;2718;2726;2701;2153;2141;2352;1864;2907;3091;3301;3807;3570;3944;3777;;1742;1975;2319;3127;3377;3494;3444;2922;2724;3008;2485;3496;3899;4138;4935;4880;4731;4676;;2154;2828;3243;3903;4203;4190;4357;4008;3214;3505;2963;4328;5067;5167;6373;5871;5791;5801;;2571;3247;4120;4717;5112;4850;5145;4776;3890;4291;4102;5029;6165;6315;7532;7583;7070;7122;;3044;3672;4666;5332;5828;5574;5861;5364;4531;5164;5097;6019;7066;7259;8550;8982;8292;7733;;3473;4176;5294;6295;6445;6411;6650;6207;5265;6041;5813;6917;8132;8118;10108;9722;9358;8630;;3766;4602;6153;6995;7044;7167;7444;6762;5920;6657;6401;7518;8962;9245;11117;10638;10478;9497;;4019;5128;6740;7588;7702;7682;7993;7486;6351;7145;7047;8400;9737;9783;12008;11308;11247;10196;;4254;5777;7476;8061;8897;8245;8670;8125;7064;7605;7658;9331;10575;10330;12860;13532;12260;11213;;
2000000;"PODLASKIE";226;98;176;331;236;150;111;150;451;127;148;126;256;320;716;817;407;366;303;302;248;349;737;682;318;236;715;864;261;391;350;749;584;1191;1342;902;1046;700;538;637;809;1280;942;600;470;1227;1235;814;921;689;1278;1266;1645;2127;2371;1776;;842;1192;1136;2242;1272;973;956;2137;1430;1060;1344;1140;1722;2089;2240;2374;3364;2424;;1123;1422;1805;2604;1616;1312;1471;2469;1748;1284;1659;1639;2559;2701;3711;2719;3925;2927;;1367;1732;2176;3213;1874;1669;2102;2969;1998;1573;2383;2200;2950;3964;4504;4420;5131;3572;;1949;1983;2717;3537;2255;2051;2626;3281;2337;1943;3001;2513;3253;4632;5183;5547;6096;4923;;2222;2326;3275;3823;2714;2752;2986;3756;2597;2270;3621;3001;3626;5320;5525;6029;7041;5338;;2661;2654;3906;4825;3064;3466;3403;4159;2960;2645;4094;3321;4235;5729;6484;6797;7668;5841;;2901;3233;4521;5306;3339;3724;3650;4540;3271;3052;4658;3809;4648;6404;6922;7647;8340;6277;;3148;3610;4859;5496;3858;4271;3981;4750;3604;3542;5137;4420;5112;7099;7502;8256;9004;6784;;3506;3784;5323;5889;4123;4475;4428;4961;3818;3806;5456;4830;5683;7820;8899;9104;10444;7260;;
